locus	ID_Full	sequence_path
HML-2_10p12.1	HG01123_mat_hprc_r2_v1.0.1_HML-2_10p12.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_10p12.1/HG01123_mat_hprc_r2_v1.0.1_HML-2_10p12.1.fa
HML-2_10p12.1	HG01891_mat_hprc_r2_v1.0.1_HML-2_10p12.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_10p12.1/HG01891_mat_hprc_r2_v1.0.1_HML-2_10p12.1.fa
HML-2_10p12.1	HG02109_pat_hprc_r2_v1.0.1_HML-2_10p12.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_10p12.1/HG02109_pat_hprc_r2_v1.0.1_HML-2_10p12.1.fa
HML-2_10p12.1	HG02145_pat_hprc_r2_v1.0.1_HML-2_10p12.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_10p12.1/HG02145_pat_hprc_r2_v1.0.1_HML-2_10p12.1.fa
HML-2_10p12.1	HG02258_pat_hprc_r2_v1.0.1_HML-2_10p12.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_10p12.1/HG02258_pat_hprc_r2_v1.0.1_HML-2_10p12.1.fa
HML-2_10p12.1	HG02559_pat_hprc_r2_v1.0.1_HML-2_10p12.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_10p12.1/HG02559_pat_hprc_r2_v1.0.1_HML-2_10p12.1.fa
HML-2_10p12.1	HG02583_hap2_hprc_r2_v1.0.1_HML-2_10p12.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_10p12.1/HG02583_hap2_hprc_r2_v1.0.1_HML-2_10p12.1.fa
HML-2_10p12.1	HG02622_pat_hprc_r2_v1.0.1_HML-2_10p12.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_10p12.1/HG02622_pat_hprc_r2_v1.0.1_HML-2_10p12.1.fa
HML-2_10p12.1	HG02841_mat_hprc_r2_v1.0.1_HML-2_10p12.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_10p12.1/HG02841_mat_hprc_r2_v1.0.1_HML-2_10p12.1.fa
HML-2_10p12.1	HG02965_hap1_hprc_r2_v1.0.1_HML-2_10p12.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_10p12.1/HG02965_hap1_hprc_r2_v1.0.1_HML-2_10p12.1.fa
HML-2_10p12.1	HG03050_mat_hprc_r2_v1.0.1_HML-2_10p12.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_10p12.1/HG03050_mat_hprc_r2_v1.0.1_HML-2_10p12.1.fa
HML-2_10p12.1	HG03139_hap2_hprc_r2_v1.0.1_HML-2_10p12.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_10p12.1/HG03139_hap2_hprc_r2_v1.0.1_HML-2_10p12.1.fa
HML-2_10p12.1	HG03270_hap1_hprc_r2_v1.0.1_HML-2_10p12.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_10p12.1/HG03270_hap1_hprc_r2_v1.0.1_HML-2_10p12.1.fa
HML-2_10p12.1	HG03471_hap1_hprc_r2_v1.0.1_HML-2_10p12.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_10p12.1/HG03471_hap1_hprc_r2_v1.0.1_HML-2_10p12.1.fa
HML-2_10p12.1	HG03486_mat_hprc_r2_v1.0.1_HML-2_10p12.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_10p12.1/HG03486_mat_hprc_r2_v1.0.1_HML-2_10p12.1.fa
HML-2_10p12.1	HG03516_pat_hprc_r2_v1.1.0_HML-2_10p12.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_10p12.1/HG03516_pat_hprc_r2_v1.1.0_HML-2_10p12.1.fa
HML-2_10p12.1	NA19185_hap2_hprc_r2_v1.0.1_HML-2_10p12.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_10p12.1/NA19185_hap2_hprc_r2_v1.0.1_HML-2_10p12.1.fa
HML-2_10p12.1	NA19443_hap2_hprc_r2_v1.0.1_HML-2_10p12.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_10p12.1/NA19443_hap2_hprc_r2_v1.0.1_HML-2_10p12.1.fa
HML-2_10p12.1	NA19835_hap1_hprc_r2_v1.0.1_HML-2_10p12.1	historical_source/Documents/HML2_project_data/processed_loci/HML-2_10p12.1/NA19835_hap1_hprc_r2_v1.0.1_HML-2_10p12.1.fa
